icao24,callsign,origin_country,longitude,latitude,baro_altitude,velocity,heading,vertical_rate,geo_altitude,speed_diff,alt_diff,movement
a4b059,N401AA  ,United States,-82.6838,28.4018,518.16,53.91,346.76,0.33,579.12,-114.03999999999999,-11727.179999999998,1
a4b065,AAL2013 ,United States,-95.4636,37.0692,9448.8,264.58,79.7,0.0,9723.12,210.67,9144.0,1
a4b098,N401CP  ,United States,-113.6461,35.4192,2872.74,111.23,240.95,-2.93,2910.84,-153.34999999999997,-6812.280000000001,1
a4b125,VJA401  ,United States,-87.8152,24.621,13106.4,224.01,251.52,0.0,13670.28,112.77999999999999,10759.44,1
a4b136,XE1180  ,United States,-118.2902,34.3917,2377.44,109.56,194.69,-1.63,2430.78,-114.44999999999999,-11239.5,1
a4b20f,N401TP  ,United States,-112.7079,33.4101,601.98,54.06,177.82,0.33,594.36,-55.5,-1836.42,1
a4b294,RPA4582 ,United States,-85.2425,42.8149,8976.36,197.6,261.62,-8.78,8983.98,143.54,8389.619999999999,1
a4b2e3,N4011R  ,United States,-111.668,33.8622,2209.8,62.42,355.75,4.23,2270.76,-135.18,-6713.219999999999,1
a4b41c,AAL2102 ,United States,-96.6689,35.4553,9753.6,205.27,262.95,-0.33,10058.4,142.85000000000002,7787.639999999999,1
a4b420,ASA418  ,United States,-103.4581,43.0276,10668.0,240.91,115.69,-0.33,10698.48,35.639999999999986,640.0799999999999,1
a4b423,,United States,-112.7641,33.0314,1028.7,54.66,324.96,2.93,1021.08,-186.25,-9677.4,1
a4b460,CFR210  ,United States,-121.4006,38.6874,0.0,51.97,178.87,-4.23,38.1,-2.6899999999999977,-982.98,1
a4b470,DAL263  ,United States,-71.8273,41.3664,7886.7,197.27,219.71,-9.75,7962.9,145.3,7924.799999999999,1
a4b49c,FFT2610 ,United States,-78.2259,30.8076,10058.4,232.02,8.54,0.0,10431.78,34.75,2468.880000000001,1
a4b4a6,GLF67   ,United States,-81.3501,33.1533,2918.46,173.93,19.35,0.0,3063.24,-58.09,-7368.540000000001,1
a4b57e,EJA402  ,United States,-118.203,34.7287,11818.62,187.07,309.64,10.08,12100.56,13.139999999999986,9037.32,1
a4b64b,RPA4721 ,United States,-73.8389,40.3983,457.2,127.74,308.62,0.0,556.26,-59.33,-11544.3,1
